"YEAR","SEMESTRE","Total","Periodo","Poblacion"
2008,1,62293,"2008-1","Aspirantes"
2008,2,39809,"2008-2","Aspirantes"
2009,1,61728,"2009-1","Aspirantes"
2009,2,40448,"2009-2","Aspirantes"
2010,1,73870,"2010-1","Aspirantes"
2010,2,43455,"2010-2","Aspirantes"
2011,1,78309,"2011-1","Aspirantes"
2011,2,48683,"2011-2","Aspirantes"
2012,1,79386,"2012-1","Aspirantes"
2012,2,38583,"2012-2","Aspirantes"
2013,1,75781,"2013-1","Aspirantes"
2013,2,45708,"2013-2","Aspirantes"
2014,1,74296,"2014-1","Aspirantes"
2014,2,42819,"2014-2","Aspirantes"
2015,1,70930,"2015-1","Aspirantes"
2015,2,45532,"2015-2","Aspirantes"
2016,1,75526,"2016-1","Aspirantes"
2016,2,43096,"2016-2","Aspirantes"
2017,1,79539,"2017-1","Aspirantes"
2017,2,47359,"2017-2","Aspirantes"
2018,1,75840,"2018-1","Aspirantes"
2018,2,48188,"2018-2","Aspirantes"
2019,1,82854,"2019-1","Aspirantes"
2019,2,44108,"2019-2","Aspirantes"
2020,1,70211,"2020-1","Aspirantes"
2020,2,43331,"2020-2","Aspirantes"
2021,1,64932,"2021-1","Aspirantes"
2021,2,23468,"2021-2","Aspirantes"
2022,1,50195,"2022-1","Aspirantes"
2022,2,21335,"2022-2","Aspirantes"
2023,1,62266,"2023-1","Aspirantes"
2023,2,33829,"2023-2","Aspirantes"
2024,1,60298,"2024-1","Aspirantes"
